Title;Year;Country;Length;Code;Remarks
Harry Potter: The Prisoner of Askaban;2004;USA/UK;136;2;
Herbert Grönemeyer - Mensch Live;2002;-;110;2;
Hero;2002;HK, China;99;2;
Himmel über Berlin, Der;1987;De, Fr;127;2;
Hours, The;2002;USA;110;2;Exclusive Edition
House of Flying Daggers;2004;China, HK;115;2;
Howls moving Castle (Hauru no ugoku shiro);2004;Jp;119;2;
Huit Femmes;2002;FR;106;2;
Ice Age;2002;USA;78;2;
In The Mood For Love;2000;HK, FR;97;2;
Incredibles, The;2004;USA;115;2;
Insider, The;1999;USA;158;1;
Interpreter, The;2004;UK, USA, Fr;124;2;
Interview with a Vampire;1994;USA;118;2;
It's a Wonderful Life;1946;USA;125;2;
Italian Job, The;2003;USA, FR, UK;106;2;
Italienisch für Anfänger;2000;Dk, Swe;108;2;
Jackie Brown;1997;USA;146;2;The Tarantino Collection
Jane Austen Book Club, The;2007;USA;101;2;
Jerry Maguire;1996;USA;133;2;Special Edition
JFK;1991;USA, FR;181;2;
Kabhi Khushi Kabhie Gham;2001;India, UK;210;2;
Keinohrhasen;2007;DE;111;2;
Kill Bill: Volume 1;2003;USA;106;2;
Kill Bill: Volume 2;2004;USA;131;2;
Knockin' on Heaven's Door;1996;DE;86;2;
Komiker;2000;CH;90;2;
Kramer vs Kramer;1979;USA;100;2;
Kundun;1997;USA;133;2;
L.A. Confidential;1997;USA;132;2;Special Edition
La Vita è Bella;1997;IT;121;2;Deluxe Widescreen Edition
Lagaan (Es war einmal in Indien);2001;Indien;214;2;
Last Emperor, The;1987;FR, IT, UK;157;2;Nur Deutsch
Last Samurai, The;2003;USA, NZL, JP;148;2;
Léon - Der Profi;1994;FR, USA;128;2;Director's Cut
Leben ist eine Baustelle, Das;1997;De;111;2;
Lethal Weapon 1;1987;USA;105;2;
Lethal Weapon 2;1989;USA;108;2;
Lethal Weapon 3;1992;USA;113;2;
Lethal Weapon 4;1998;USA;122;2;
Level 42, Live at Rockpalast;1983;UK;188;2;
Life Aquatic with Steve Zissou, The;2004;USA;114;2;
Lock, Stock and Two Smoking Barrels;1998;UK;107;2;
Lola Rennt;1998;DE;77;2;Special Edition
Lord of the Rings, The: The Fellowship of the Ring;2001;NZL, USA;171;2;
Lord of the Rings, The: The Return of the King;2003;NZL, USA;240;2;Special Extended Edition (4 DVDs)
Lord of the Rings, The: The Two Towers;2002;NZL, USA;172;2;
Lord of the Rings, The: The Two Towers;2002;NZL, USA;225;2;Special Extended Edition (4 DVDs)
Lost in Translation;2003;USA, JP;97;2;
Lost in Translation;2003;USA, Jp;102;2;
Love Actually;2003;UK, USA;130;2;
Lustige Welt der Tiere, Die - Animals Are Beautiful People;1974;SA;88;2;
Madagascar;2005;USA;82;2;
Mar Adentro;2004;ESP/FR/IT;125;2;
Mariachi, El;1993;MEX, USA;81;2;MexiCollection
Mark King in Concert;1999;-;60;2;
Master and Commander;2003;USA;138;2;
Matrix Reloaded;2003;USA;133;2;
Matrix Revolutions;2003;USA;129;2;
Matrix, The;1999;USA;131;2;
Maverick;1994;USA;121;2;
Memento;2000;USA;109;2;
Men in Black;1997;USA;94;2;
Mission: Impossible;1996;USA;105;2;
Mission: Impossible 2;2000;USA;118;2;
Mona Lisa Smile;2003;USA;120;2;
Monsoon Wedding;2001;IND, USA, FR, IT, DE;109;2;
Monster;2003;USA, DE;105;2;
Monster's Ball;2001;USA, CAN;108;2;
Monster's Inc. - Die Monster AG;2001;USA;92;2;
Monty Python and the Holy Grail;1975;UK;91;2;Boxed: Montys Enzyklopythonia
Monty Python's Life of Brian;1979;UK;94;2;Boxed: Montys Enzyklopythonia
Monty Python's The Meaning of Life;1983;UK;107;1;Boxed: Montys Enzyklopythonia
Moulin Rouge;2001;AUS, USA;123;2;
Much Ado about Nothing;1993;UK, USA;106;2;nur Deutsch
Mummy Returns, The;2001;USA;129;2;
Mystic River;2003;USA;132;2;2 Disc Edition
Name der Rose, Der;1986;FR, IT, DE;126;2;
Ninth Gate, The;1999;ESP, FR, USA;128;2;
Nirgendwo in Afrika;2001;DE;136;2;Special Edition
Nomaden der Lüfte;2001;FR, IT, DE;94;2;
Notting Hill;1999;UK;119;2;
O Brother, Where Art Thou?;2000;UK, FR, USA;103;2;
Ocean's Eleven;2001;USA;116;2;
October Sky;1999;USA;103;2;
Once upon a Time in America;1984;USA;221;2;Special Edition
Once Upon a Time in Mexico;2003;MEX, USA;101;2;MexiCollection
Once upon a Time in the West - Spiel mir das Lied vom Tod;1968;IT, USA;159;2;Special Collector's Edition
One Flew over the Cuckoo's Nest;1975;USA;128;2;Special Edition
Others, The;2001;ESP, USA, FR;100;2;
Out of Africa;1985;USA;154;2;
Out of Rosenheim;1987;DE, USA;104;2;
Out of Sight;1998;USA;118;2;
Pakt der Wölfe;2001;FR;137;2;Director's Cut
Pane e Tulipani;2000;IT, CH;113;2;
Pane e Tulipani;2000;It, CH;118;2;
Passion of the Christ, The;2004;USA;121;2;
Pearl Harbor;2001;USA;176;2;
Perfect World;1993;USA;133;2;
Phantom of the Opera, The;2004;USA, UK;143;2;
Pianist, The;2002;FR, DE, POL;143;2;
Piano, The;1993;AUS, NZ, FR;121;2;Lmitierte Sonderedition
Pirates of the Caribbean;2003;USA;137;2;Special Edition
Pirates of the Caribbean;2003;USA;143;2;
Postino, Il;1994;IT;104;2;
Pride and Prejudice;2005;Fr, UK;127;2;
Princess Mononoke Hime;1997;JP;133;2;
Priscilla, Queen of the Desert;1994;AUS;99;2;
Pulp Fiction;1994;USA;148;2;The Tarantino Collection
Purpurnen Flüsse, Die;2001;FR;105;2;
Reservoir Dogs;1992;USA;95;2;
Road to Perdition;2002;USA;112;1;
Road Trip;2000;USA;94;2;ungekürzte Version
Robin Hood;1973;USA;80;2;
Rock, The;1996;USA;131;2;Special Edition
Roger & Me;1989;USA;87;2;
Romeo and Juliet;1996;USA;115;2;
Romeo Must Die;2000;USA;111;2;
